,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,track,artist,imgUrl,album_id,track_id
183,0.515,0.441,1,-10.656,0,0.0254,0.0103,0.0158,0.122,0.225,99.006,audio_features,302413,4,Broadsword - 2005 Remaster,Jethro Tull,https://i.scdn.co/image/ab67616d00004851268894c9c9e5549bd16e79fb,4lpzTVAjVdnLfIpWPqKuKw,78FLjDcRvkXcIs6jRQN1ld
184,0.351,0.764,9,-5.624,1,0.0366,0.00422,0.441,0.0197,0.504,166.656,audio_features,210000,4,Hey Joe,Jimi Hendrix,https://i.scdn.co/image/ab67616d00004851c9adfbd773852e286faed040,7rSZXXHHvIhF4yUFdaOCy9,0NWPxcsf5vdjdiFUI8NgkP
185,0.512,0.335,2,-17.002,0,0.0481,0.531,0.895,0.099,0.48,127.935,audio_features,287387,4,"Nuages (That Which Passes, Passes Like Clouds)",King Crimson,https://i.scdn.co/image/ab67616d0000485179307974cc73f51fb5b6a173,4eJ3LJl4sHKs3nd8CZ9hq5,3fI6xSQqR37GqFTfdKzBBQ
186,0.691,0.853,1,-2.528,0,0.0372,0.0631,7.13e-05,0.082,0.762,145.999,audio_features,215867,4,One Time,King Crimson,https://i.scdn.co/image/ab67616d00004851e61d2abd4c80c6795759c8b0,5A1knO3o9ippL0nFuKl0Kh,4xiQr4fHWwQZONZCXbEYIz
187,0.728,0.543,9,-10.364,1,0.0926,0.0131,9.99e-05,0.048,0.644,103.247,audio_features,229720,4,Model Man,King Crimson,https://i.scdn.co/image/ab67616d0000485179307974cc73f51fb5b6a173,4eJ3LJl4sHKs3nd8CZ9hq5,0NgBe6cubzUkCr0rYrFgCI
188,0.398,0.0336,4,-27.154,1,0.0505,0.959,0.0159,0.13,0.283,140.616,audio_features,167336,4,Lady of the Dancing Water,King Crimson,https://i.scdn.co/image/ab67616d000048518f4652132e153badd7017df4,4vvx8uOeJE7YR4tORVtYV4,0pKlIB10GmZCmXA1g5EhV5
189,0.595,0.88,5,-6.121,1,0.0365,0.186,0.0167,0.129,0.667,138.869,audio_features,191253,4,Eyes Wide Open,King Crimson,https://i.scdn.co/image/ab67616d00004851e0d2d12a833288b2ecc09c9d,1dbVSQR5jcw5rdngMyA3d8,7xq0neUEFtMsUBzN9uX8WH
190,0.549,0.712,7,-10.064,0,0.0616,0.0557,4.28e-05,0.0976,0.836,177.145,audio_features,250787,1,Three of a Perfect Pair,King Crimson,https://i.scdn.co/image/ab67616d00004851e0d2d12a833288b2ecc09c9d,1dbVSQR5jcw5rdngMyA3d8,3riKaZqGmdmnt6zKhkiWip
191,0.365,0.263,7,-18.358,0,0.0518,0.0329,0.699,0.218,0.311,146.028,audio_features,444713,4,The Talking Drum,King Crimson,https://i.scdn.co/image/ab67616d00004851aa9e5286056e17ff3d9b2881,6ELt0QaMOwPGPzfdEXE839,6JdDmIuW0ZX5ziq7xl9jyR
192,0.332,0.0818,9,-21.575,0,0.0472,0.597,1.82e-06,0.104,0.202,69.023,audio_features,175721,5,Book Of Saturday,King Crimson,https://i.scdn.co/image/ab67616d00004851e0d2d12a833288b2ecc09c9d,1dbVSQR5jcw5rdngMyA3d8,1IipkdkrBeEu4ikMirm7jX
193,0.614,0.381,4,-14.628,1,0.0441,0.244,4.12e-05,0.0917,0.504,145.056,audio_features,199667,4,Dinosaur,King Crimson,https://i.scdn.co/image/ab67616d00004851e61d2abd4c80c6795759c8b0,5A1knO3o9ippL0nFuKl0Kh,1tvEy7OmCMvzAWGfjd3ypa
194,0.286,0.307,11,-15.953,0,0.04,0.0404,0.0125,0.185,0.134,118.395,audio_features,281611,4,The Night Watch,King Crimson,https://i.scdn.co/image/ab67616d00004851ebb799f3ca90f59bd04f6a72,4ttC4XUinZXn3GMIQNrjFZ,46dxvP1IF5TdcKG42GkDF4
195,0.281,0.309,4,-17.589,0,0.0373,0.545,0.618,0.109,0.309,81.173,audio_features,365659,4,I Talk To The Wind,King Crimson,https://i.scdn.co/image/ab67616d00004851da7b326bd7ffa7b6b95b0660,75ol9OP8bJaRqzGimpFHDm,1T0CdfKPKb1gJi4vCKpZ9C
196,0.487,0.474,9,-10.247,0,0.0255,0.525,0.000488,0.139,0.414,89.409,audio_features,195027,4,I Talk To The Wind - From: The Young Person's Guide To King Crimson 1976,King Crimson,https://i.scdn.co/image/ab67616d00004851d8609b6cdfad9dca99f2c944,4JnrXTu4sqjORAh1cPiKea,3JTgViCSJJEmmKaquWMkOc
197,0.452,0.337,2,-14.295,1,0.0669,0.651,0.775,0.107,0.266,87.133,audio_features,219679,4,We'll Let You Know,King Crimson,x,x,x
198,0.322,0.122,3,-20.153,0,0.0347,0.59,4.43e-05,0.22,0.0729,139.39,audio_features,107437,3,Inner Garden I,King Crimson,https://i.scdn.co/image/ab67616d00004851e61d2abd4c80c6795759c8b0,5A1knO3o9ippL0nFuKl0Kh,4zGNUdGxpwnC7HN27Muzpl
199,0.429,0.276,2,-18.492,1,0.0613,0.0102,0.0307,0.0994,0.289,178.433,audio_features,337936,4,Indoor Games,King Crimson,https://i.scdn.co/image/ab67616d000048518f4652132e153badd7017df4,4vvx8uOeJE7YR4tORVtYV4,1uFBuwaIS0vYICAgBEwaUa
