id,artist,track,album_id,imgUrl
0f7VY69zhtS20Xm5PVYCm5,The Rolling Stones,Doo Doo Doo Doo Doo (Heartbreaker),6iVOz2hudE6dv5Yrcsw2c9,https://i.scdn.co/image/ab67616d00004851fa3c4374e2cdd3cc1636c79b
7HKez549fwJQDzx3zLjHKC,The Rolling Stones,Start Me Up - Remastered 2009,15XNBzVWARPMlu0sEbfBjJ,https://i.scdn.co/image/ab67616d0000485108fc42e575043a753f60d675
4hupcimlg3UBbW1kAQ6vrT,The Rolling Stones,Ruby Tuesday,36BIYdP4WtviD9Ngqc4SK5,https://i.scdn.co/image/ab67616d000048518260863a56134f1516913d7f
06FcMPcosZg13x2QODDDK6,The Rolling Stones,Let It Bleed,4l4u9e9jSbotSXNjYfOugy,https://i.scdn.co/image/ab67616d000048512af30c881bb23cfb82a8cf99
4Wd9pEtEnZNDjgiswGOpJb,The Rolling Stones,Waiting On A Friend - Remastered 2009,15XNBzVWARPMlu0sEbfBjJ,https://i.scdn.co/image/ab67616d0000485108fc42e575043a753f60d675
1hJrWWK74fKL7eeV3CFOvF,The Rolling Stones,Sweet Virginia,5U4dnRZsfW8NmwBBkELFPh,https://i.scdn.co/image/ab67616d00004851ba42bfcfeed19018b1f8cab8
1iii3DosaivkmvUDmhZhCP,The Rolling Stones,Shine A Light,5U4dnRZsfW8NmwBBkELFPh,https://i.scdn.co/image/ab67616d00004851ba42bfcfeed19018b1f8cab8
6QewNVIDKdSl8Y3ycuHIei,Pearl Jam,Even Flow,5B4PYA7wNN4WdEXdIJu58a,https://i.scdn.co/image/ab67616d00004851d400d27cba05bb0545533864
7M1L2Cv5025QeywNsdfPDK,Pearl Jam,Go - Remastered,3BSOiAas8BpJOii3kCPyjV,https://i.scdn.co/image/ab67616d00004851777344aba9d5b5785b4593a5
3bE5slaVEfaDreqARl6k4M,Pearl Jam,Yellow Ledbetter,1WJ3UbOi2QYGuRgXCc9FIV,https://i.scdn.co/image/ab67616d000048518df1fdc14be33eb2c991d60f
2D68wN3hwEZFdeui0c5Ar6,Pearl Jam,Retrograde,5bTixyz2GHx1YUqNUdzfut,https://i.scdn.co/image/ab67616d000048519be7966e92574b4641a82c17
1L94M3KIu7QluZe63g64rv,Pearl Jam,Alive,5B4PYA7wNN4WdEXdIJu58a,https://i.scdn.co/image/ab67616d00004851d400d27cba05bb0545533864
7vDL10t1MWPh5TTqaa8cY3,The Who,Slip Kid,6IxRCbXtyK6MlHlofsnhlm,https://i.scdn.co/image/ab67616d00004851f2c6aaf5c67068921d584478
0gH9pmlL8dGiXb1DyC08SC,The Who,It's A Boy,5cT7ee1sy2oEbFalP4asS4,https://i.scdn.co/image/ab67616d0000485174ecb94bc3e5d851a39a0334
0M7tdKXvtrEk26j8nXFtvC,The Who,Getting In Tune,5MqyhhHbT13zsloD3uHhlQ,https://i.scdn.co/image/ab67616d00004851fe24dcd263c08c6dd84b6e8c
2EJo2k8xmQsA3E5VwTta7I,The Who,1921,5cT7ee1sy2oEbFalP4asS4,https://i.scdn.co/image/ab67616d0000485174ecb94bc3e5d851a39a0334
0tw9YJD5pF7JgjbKjO29kP,The Who,Quadrophenia,3JV6BIIXo3mj6GLIGH9p8a,https://i.scdn.co/image/ab67616d00004851183cf7b28749f1f74ed66477
2ealmeMR0UKZo2Q7Bt7sWk,The Who,Eminence Front,46rjSfrOaPBPX8npn50l0A,https://i.scdn.co/image/ab67616d00004851daa48b4b3385808beb8eb5db
4yLKrbpfDou64pknD62S2U,The Who,I'm One,3JV6BIIXo3mj6GLIGH9p8a,https://i.scdn.co/image/ab67616d00004851183cf7b28749f1f74ed66477
03eY6eU7XvvZ61ahRoWeeU,The Who,"Imagine A Man - Live At Wembley, UK / 2019",0ZM1dVIT9Yb2BtWDGM1ZXx,https://i.scdn.co/image/ab67616d000048518e0712f60fe2d4d4e7fd67c0
7B9F9nLxe7MZgZ68Jj86Fn,The Who,I Can See For Miles - Mono Version,2JyNDhGhp0hiizSPuUs0i9,https://i.scdn.co/image/ab67616d0000485134894946601823e27fc08538
5PKnZzkjs2y3WTbIYtv5Fq,The Who,Magic Bus - Mono Edit,0dHf3EzHyFV4s1JhOyCjGp,https://i.scdn.co/image/ab67616d00004851abef710700c2ff38ef1c463f
7u8Z9Y3VFMAELQT1nEchtL,The Who,Anyway Anyhow Anywhere - Stereo Version,6Oc6Ok1Oawu8lRkjmD4mXy,https://i.scdn.co/image/ab67616d0000485134658b1827b64a1d4d5a5ca9
123RhEzztpTieeEd13NexC,The Who,Pictures Of Lily,0NufsuTuf3U0BY0p6jFdxV,https://i.scdn.co/image/ab67616d0000485179707c30203f870776ff02d0
6krAkpKf8NW11bOfNkxpmx,The Who,You Better You Bet,6mvsqS8xbCijlQLLjqDXng,https://i.scdn.co/image/ab67616d00004851cea876165156128844591af9
1YQWosTIljIvxAgHWTp7KP,The Dave Brubeck Quartet,Take Five,0nTTEAhCZsbbeplyDMIFuA,https://i.scdn.co/image/ab67616d0000485100ace5d3c5bffc123ef1eb51
5xRP5iyVdGglqlY4Vcjhkx,Nina Simone,Sinnerman,31pd81sWDaK2pP3ok5892z,https://i.scdn.co/image/ab67616d00004851df49506f74db624312118ca2
0aWMVrwxPNYkKmFthzmpRi,Miles Davis,Blue in Green (feat. John Coltrane & Bill Evans),4sb0eMpDn3upAFfyi4q2rw,https://i.scdn.co/image/ab67616d000048510ebc17239b6b18ba88cfb8ca
73TxYZd0lBCVRrHawrAglA,Aerosmith,Sweet Emotion,6As5aOEQjfxLIChIB3fQRD,https://i.scdn.co/image/ab67616d000048518cffbbb7fe8645a486a85ea9
2PzU4IB8Dr6mxV3lHuaG34,The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version,2Q5MwpTmtjscaS34mJFXQQ,https://i.scdn.co/image/ab67616d0000485105c5be85b64eaff732f7cb0b
78lgmZwycJ3nzsdgmPPGNx,Led Zeppelin,Immigrant Song - Remaster,6P5QHz4XtxOmS5EuiGIPut,https://i.scdn.co/image/ab67616d0000485190a50cfe99a4c19ff3cbfbdb
1Ud6moTC0KyXMq1Oxfien0,The Rolling Stones,Sympathy For The Devil - 50th Anniversary Edition,6OHri5qNxwCdVSdyCslspd,https://i.scdn.co/image/ab67616d0000485144934a06d21864415376f5f2
77oU2rjC5XbjQfNe3bD6so,The Rolling Stones,Beast Of Burden - Remastered 1994,1Jv2AqzhgsduUik2p4k3cS,https://i.scdn.co/image/ab67616d0000485105c7aec05eabf142cc33b936
2aoo2jlRnM3A0NyLQqMN2f,Jimi Hendrix,All Along the Watchtower,5z090LQztiqh13wYspQvKQ,https://i.scdn.co/image/ab67616d00004851522088789d49e216d9818292
19Shlms2uTnOjIUg50TXzd,Fleetwood Mac,Never Going Back Again - 2004 Remaster,0BwWUstDMUbgq2NYONRqlu,https://i.scdn.co/image/ab67616d00004851e52a59a28efa4773dd2bfe1b
5MbXzXGbqobR8xPVPs8OXA,Simon & Garfunkel,The Only Living Boy in New York,0JwHz5SSvpYWuuCNbtYZoV,https://i.scdn.co/image/ab67616d00004851ba7fe7dd76cd4307e57dd75f
29HaKOpeLSYvqdFyEQSRdj,"Crosby, Stills, Nash & Young",Teach Your Children,5bHkK1X4WEOzNvRhehvOcb,https://i.scdn.co/image/ab67616d0000485106e00756085191abc01e4cf0
6FlNxt8Mw5ki0Ccjt2mNWJ,Jim Croce,Time in a Bottle,0MJESR6xqCtsmM0CB4Pjlu,https://i.scdn.co/image/ab67616d000048519dcfd97f2ec5c08f045fcbc4
6Qb7gtV6Q4MnUjSbkFcopl,Paul Simon,50 Ways to Leave Your Lover,4A366gjTrYQwmRtkTezF2W,https://i.scdn.co/image/ab67616d000048513879ef4375b97d2b58bf0768
2hitsKa8SthKhRJBXUHbIv,"Crosby, Stills, Nash & Young",Our House,5bHkK1X4WEOzNvRhehvOcb,https://i.scdn.co/image/ab67616d0000485106e00756085191abc01e4cf0
1H7gMYGykdtwZOV6s1N0by,The Beatles,Norwegian Wood (This Bird Has Flown) - Remastered 2009,50o7kf2wLwVmOTVYJOTplm,https://i.scdn.co/image/ab67616d00004851ed801e58a9ababdea6ac7ce4
70gbuMqwNBE2Y5rkQJE9By,Led Zeppelin,Going to California - Remaster,44Ig8dzqOkvkGDzaUof9lK,https://i.scdn.co/image/ab67616d00004851c8a11e48c91a982d086afc69
6Vcwr9tb3ZLO63F8DL8cqu,Bob Dylan,Tangled up in Blue,4WD4pslu83FF6oMa1e19mF,https://i.scdn.co/image/ab67616d0000485172ca15b8637acbc7d15ff5ba
4u6rcmlhDDgS0YAo8ZMI4a,Talking Heads,Wild Wild Life - 2005 Remaster,5PvkD4XryLL9oC4NFItYIM,https://i.scdn.co/image/ab67616d00004851851ebc64ba218563cbc1fa99
5VMTSLp2WX3dsnsVWiVGB7,Talking Heads,Mind - 2005 Remaster,5dVZpNJraoqCo3BssinMoo,https://i.scdn.co/image/ab67616d000048518365f74aa622b1b86962c8dd
1i6N76fftMZhijOzFQ5ZtL,Talking Heads,Psycho Killer - 2005 Remaster,5eqcF7pWzHgWpGdEmHgeSN,https://i.scdn.co/image/ab67616d00004851e71708b667804f6241dd1a59
1Z0jkAvtK78wrDc5odDtdX,Talking Heads,Genius of Love (Tom Tom Club) - Live,4FR8Z6TvIsC56NLyNomNRE,https://i.scdn.co/image/ab67616d000048514436f2e7c93002ad0eb9716a
