,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track,artist,msPlayed,datetime
0,0.177,0.00731,0,-26.405,1,0.0361,0.986,0.913,0.0926,0.0376,70.673,audio_features,2M8B5BsXf7L0raacJzhNXC,spotify:track:2M8B5BsXf7L0raacJzhNXC,https://api.spotify.com/v1/tracks/2M8B5BsXf7L0raacJzhNXC,https://api.spotify.com/v1/audio-analysis/2M8B5BsXf7L0raacJzhNXC,414467,3,"Piano Concerto No. 4 in G minor, Op. 40: 2. Largo",Sergei Rachmaninoff,821,2024-01-12 16:30:00
0,0.159,0.0376,8,-26.819,0,0.0401,0.96,0.881,0.0549,0.0327,84.075,audio_features,4NXmcUMQauqEtDYDgP0MEi,spotify:track:4NXmcUMQauqEtDYDgP0MEi,https://api.spotify.com/v1/tracks/4NXmcUMQauqEtDYDgP0MEi,https://api.spotify.com/v1/audio-analysis/4NXmcUMQauqEtDYDgP0MEi,562173,4,"Prélude à l'après-midi d'un faune, CD 87a",Claude Debussy,7002,2024-01-12 16:30:00
0,0.119,0.126,7,-25.924,1,0.0461,0.948,0.887,0.16,0.0533,172.432,audio_features,1FEl1t6tZWNNWszxdYAaXI,spotify:track:1FEl1t6tZWNNWszxdYAaXI,https://api.spotify.com/v1/tracks/1FEl1t6tZWNNWszxdYAaXI,https://api.spotify.com/v1/audio-analysis/1FEl1t6tZWNNWszxdYAaXI,40827,4,"Valses nobles et sentimentales, M. 61: VI. Assez vif",Maurice Ravel,40826,2024-01-12 16:31:00
0,0.177,0.00731,0,-26.405,1,0.0361,0.986,0.913,0.0926,0.0376,70.673,audio_features,2M8B5BsXf7L0raacJzhNXC,spotify:track:2M8B5BsXf7L0raacJzhNXC,https://api.spotify.com/v1/tracks/2M8B5BsXf7L0raacJzhNXC,https://api.spotify.com/v1/audio-analysis/2M8B5BsXf7L0raacJzhNXC,414467,3,"Piano Concerto No. 4 in G minor, Op. 40: 2. Largo",Sergei Rachmaninoff,126267,2024-01-12 16:56:00
0,0.136,0.00986,7,-31.415,1,0.0417,0.939,0.59,0.291,0.0328,90.26,audio_features,28yLX37SSGe6qSXiSKQnG9,spotify:track:28yLX37SSGe6qSXiSKQnG9,https://api.spotify.com/v1/tracks/28yLX37SSGe6qSXiSKQnG9,https://api.spotify.com/v1/audio-analysis/28yLX37SSGe6qSXiSKQnG9,208240,3,"Ma mère l'oye, M. 62: Prélude: Très lent",Maurice Ravel,72341,2024-01-12 17:07:00
0,0.752,0.662,0,-10.561,0,0.0362,0.335,1.9e-06,0.0775,0.694,92.025,audio_features,2PeDoi5nGBPabIsf1IPrIO,spotify:track:2PeDoi5nGBPabIsf1IPrIO,https://api.spotify.com/v1/tracks/2PeDoi5nGBPabIsf1IPrIO,https://api.spotify.com/v1/audio-analysis/2PeDoi5nGBPabIsf1IPrIO,270627,4,Mandela,Salif Keita,7544,2024-01-12 18:01:00
0,0.474,0.337,11,-14.667,0,0.0256,0.884,0.213,0.113,0.278,90.897,audio_features,1k3tnHRcKo5DUNdQYuYFnw,spotify:track:1k3tnHRcKo5DUNdQYuYFnw,https://api.spotify.com/v1/tracks/1k3tnHRcKo5DUNdQYuYFnw,https://api.spotify.com/v1/audio-analysis/1k3tnHRcKo5DUNdQYuYFnw,292933,4,The River,PJ Harvey,292933,2024-01-12 18:06:00
0,0.421,0.723,0,-6.092,1,0.0259,0.0495,0.774,0.315,0.243,93.733,audio_features,6IyCdjke2yd27y6dMDIMEK,spotify:track:6IyCdjke2yd27y6dMDIMEK,https://api.spotify.com/v1/tracks/6IyCdjke2yd27y6dMDIMEK,https://api.spotify.com/v1/audio-analysis/6IyCdjke2yd27y6dMDIMEK,289341,4,Prší Prší,The Brian Jonestown Massacre,289340,2024-01-12 18:11:00
0,0.49,0.909,2,-8.637,1,0.068,0.0778,0.875,0.119,0.195,198.08,audio_features,2UF2lebuxz6eG9RXmOe753,spotify:track:2UF2lebuxz6eG9RXmOe753,https://api.spotify.com/v1/tracks/2UF2lebuxz6eG9RXmOe753,https://api.spotify.com/v1/audio-analysis/2UF2lebuxz6eG9RXmOe753,197560,4,Worlds Beyond - English version,Premiata Forneria Marconi,197560,2024-01-12 18:14:00
0,0.482,0.709,2,-7.431,1,0.0486,0.414,0.00044,0.211,0.37,136.236,audio_features,75rfPRAYaXRbHSSXHsUyQk,spotify:track:75rfPRAYaXRbHSSXHsUyQk,https://api.spotify.com/v1/tracks/75rfPRAYaXRbHSSXHsUyQk,https://api.spotify.com/v1/audio-analysis/75rfPRAYaXRbHSSXHsUyQk,343293,3,Mano Dayak,Tinariwen,343293,2024-01-12 18:20:00
