endTime,artistName,trackName,msPlayed
2023-12-08 11:41,Spirit,Taurus,157133
2023-12-08 11:42,Jethro Tull,Teacher - Single Mix; 2001 Remaster,28552
2023-12-08 11:52,Yes,"Starship Trooper: a. Life Seeker, b. Disillusion, c. Würm",4223
2023-12-08 12:26,Rikki Ililonga,Sheebeen Queen,249718
2023-12-08 18:11,George Gershwin,Rhapsody in Blue,14047
2023-12-08 18:14,Menahan Street Band,Midnight Morning,177013
2023-12-08 18:17,Azymuth,Morning,10981
2023-12-08 18:17,The Olympians,Pluto's Lament,165880
2023-12-08 18:28,Hailu Mergia,Endegena,31807
2023-12-09 06:52,Mark Lanegan,Hit the City,1750
2023-12-09 06:52,Nick Cave & The Bad Seeds,Henry Lee (feat. PJ Harvey),4140
2023-12-09 06:52,PJ Harvey,The Last Living Rose,1954
2023-12-09 06:52,PJ Harvey,Down By The Water,194506
2023-12-09 06:56,PJ Harvey,This Mess We're In,235840
2023-12-09 07:01,PJ Harvey,Rid Of Me,268826
2023-12-09 07:01,PJ Harvey,Sheela-na-gig,7263
2023-12-09 07:05,PJ Harvey,This Is Love,226666
2023-12-09 07:09,PJ Harvey,Send His Love To Me,20942
2023-12-09 07:09,PJ Harvey,The Wind,241493
2023-12-09 07:12,PJ Harvey,C'mon Billy,167600
2023-12-09 07:15,PJ Harvey,Good Fortune,200200
2023-12-09 07:19,PJ Harvey,You Said Something,198733
2023-12-09 07:22,PJ Harvey,Let England Shake,189280
2023-12-09 07:23,PJ Harvey,Dress,5018
2023-12-09 07:23,PJ Harvey,Black Hearted Love,12165
2023-12-09 07:26,Sadja,Sadja,172426
2023-12-09 07:29,Pearl Jam,Unemployable,183546
2023-12-09 07:33,Fleetwood Mac,Homeward Bound,204133
2023-12-09 07:36,Terry Riley,The Protege,174893
2023-12-09 07:37,Pearl Jam,Lukin,62360
2023-12-09 07:40,Pearl Jam,World Wide Suicide,207346
2023-12-09 07:45,Irmin Schmidt,Le Weekend,288666
2023-12-09 09:29,Grateful Dead,Morning Dew - 2013 Remaster,9762
2023-12-09 10:46,Mark Lanegan,Hit the City,3144
2023-12-09 10:46,Masayoshi Takanaka,OH! TENGO SUERTE,141905
2023-12-09 10:47,PJ Harvey,Good Fortune,1041
2023-12-09 10:47,PJ Harvey,Rid Of Me,2585
2023-12-09 10:50,PJ Harvey,Dress,198240
2023-12-09 10:51,Nick Cave & The Bad Seeds,Henry Lee (feat. PJ Harvey),53942
2023-12-09 11:01,PJ Harvey,The Wind,12970
2023-12-09 11:54,Masayoshi Takanaka,TROPIC BIRDS,530000
2023-12-09 12:00,Masayoshi Takanaka,SUNDROPS,310000
2023-12-09 12:06,Masayoshi Takanaka,憧れのセーシェル諸島,368013
2023-12-09 12:11,Masayoshi Takanaka,サヨナラ・・・・・・FUJIさん,268000
2023-12-09 12:15,Masayoshi Takanaka,蜃気楼の島へ,218000
2023-12-09 12:19,Masayoshi Takanaka,MAMBO NO. 5 (DISCO DANGO),161738
2023-12-09 12:22,PJ Harvey,C'mon Billy,167600
2023-12-09 12:22,PJ Harvey,Rid Of Me,32231
2023-12-09 12:22,PJ Harvey,Sheela-na-gig,1745
2023-12-09 12:27,PJ Harvey,This Is Love,226666
2023-12-09 12:30,PJ Harvey,Down By The Water,194506
2023-12-09 12:34,PJ Harvey,The Last Living Rose,141280
2023-12-09 12:38,PJ Harvey,This Mess We're In,235840
2023-12-09 12:42,PJ Harvey,Good Fortune,200200
2023-12-09 12:45,PJ Harvey,Let England Shake,189280
2023-12-09 12:50,PJ Harvey,Send His Love To Me,260773
2023-12-09 12:54,Nick Cave & The Bad Seeds,Henry Lee (feat. PJ Harvey),238186
2023-12-09 12:55,Mark Lanegan,Hit the City,4680
2023-12-09 12:59,PJ Harvey,The Wind,241493
2023-12-09 13:02,PJ Harvey,Dress,198240
2023-12-09 13:06,PJ Harvey,You Said Something,198733
2023-12-09 13:12,PJ Harvey,On Battleship Hill,32048
2023-12-09 13:12,PJ Harvey,Electric Light,3346
2023-12-09 13:16,PJ Harvey,Angelene,214226
2023-12-09 13:16,PJ Harvey,"A Child's Question, August",6589
2023-12-09 13:16,PJ Harvey,Prayer at the Gate,1426
2023-12-09 13:20,PJ Harvey,Catherine,245493
2023-12-09 13:23,PJ Harvey,A Perfect Day Elise,186106
2023-12-09 13:25,PJ Harvey,The Sky Lit Up,112906
2023-12-09 13:35,PJ Harvey,I Inside the Old I Dying,5587
2023-12-09 16:00,Love,A House Is Not a Motel - 2015 Remaster,1225
2023-12-09 16:00,Buffalo Springfield,Rock & Roll Woman,1994
2023-12-09 16:02,The Rolling Stones,Factory Girl - 50th Anniversary Edition,129933
2023-12-09 16:06,The Yardbirds,White Summer - 2003 Remaster,236466
2023-12-09 16:10,Buffalo Springfield,Bluebird,275760
2023-12-09 16:11,"Crosby, Stills, Nash & Young",Carry On,2811
2023-12-09 16:11,Buffalo Springfield,Questions,1304
2023-12-09 16:16,Bob Dylan,Ballad of a Thin Man,356706
2023-12-09 16:20,The Byrds,Eight Miles High,214640
2023-12-09 16:22,Led Zeppelin,Black Mountain Side - 1993 Remaster,125666
2023-12-09 16:25,The Byrds,5D (Fifth Dimension),5261
2023-12-09 16:25,Buffalo Springfield,Mr. Soul,172400
2023-12-09 16:28,The Rolling Stones,You Got The Silver,170373
2023-12-09 16:28,The Rolling Stones,Moonlight Mile - 2009 Mix,1094
2023-12-09 16:31,Spirit,Taurus,157133
2023-12-09 16:36,Pink Floyd,San Tropez - 2011 Remastered Version,222853
2023-12-09 16:39,The Byrds,Mr. Spaceman,129506
2023-12-09 16:44,Grateful Dead,Box of Rain - 2013 Remaster,318929
2023-12-09 16:48,Led Zeppelin,Tangerine - Remaster,191827
2023-12-09 17:00,Stephen Stills,Song of Love,120997
2023-12-09 20:10,PJ Harvey,On Battleship Hill,10811
2023-12-09 20:10,PJ Harvey,All And Everyone,762
2023-12-09 20:10,PJ Harvey,"A Child's Question, August",12619
2023-12-09 20:10,PJ Harvey,The Glorious Land,0
2023-12-09 20:14,Zucchero,Un Kilo,212493
2023-12-09 20:15,Miles Davis,Pharaoh's Dance,1578
2023-12-09 20:15,The Rolling Stones,Please Go Home,1231
2023-12-09 20:15,PJ Harvey,Angelene,9400
2023-12-09 20:26,The Beatles,Lucy In The Sky With Diamonds - Remastered 2009,11029
2023-12-09 20:58,The Beatles,Lucy In The Sky With Diamonds - Remastered 2009,8874
2023-12-10 06:23,Elliott Smith,Waltz #2 (XO),280106
2023-12-10 06:28,PJ Harvey,Good Fortune,200200
2023-12-10 06:30,Pixies,Ana,129440
2023-12-10 06:35,Jeff Buckley,Dream Brother,326880
2023-12-10 06:41,Belle and Sebastian,The Boy With the Arab Strap,314066
2023-12-10 06:45,Nick Cave & The Bad Seeds,Henry Lee (feat. PJ Harvey),238186
2023-12-10 06:50,Radiohead,"There, There",323600
2023-12-10 06:54,PJ Harvey,Dress,198240
2023-12-10 06:58,Jeff Buckley,Grace,202394
2023-12-10 07:01,PJ Harvey,C'mon Billy,167600
2023-12-10 07:07,The Velvet Underground,Venus In Furs,312253
2023-12-10 07:10,PJ Harvey,You Said Something,198733
2023-12-10 07:11,The Breeders,Cannonball,15681
2023-12-10 07:15,PJ Harvey,This Is Love,226666
2023-12-10 07:18,Elliott Smith,Son Of Sam,184293
2023-12-10 07:19,Portishead,Sour Times,26502
2023-12-10 07:19,The Magnetic Fields,The Book of Love,2637
2023-12-10 07:19,PJ Harvey,Rid Of Me,1302
2023-12-10 07:22,Kate Bush,Hounds Of Love,3407
2023-12-10 07:22,PJ Harvey,Let England Shake,189280
2023-12-10 07:28,PJ Harvey,To Bring You My Love,331600
2023-12-10 07:32,PJ Harvey,The Wind,241493
2023-12-10 07:37,PJ Harvey,A Perfect Day Elise,186106
